333875, Gera Hbf, Germany, DE, 12.077088, 50.883421
378581, Gerona, España, ES, 2.82493, 41.98311
369317, Ghent, Belgium, BE, 3.71667, 51.05
369317, Ghent, Belgium, BE, 3.71667, 51.05
378580, Gijón, Spain, ES, -5.66152, 43.53573
378580, Gijón, Spanien, ES, -5.66152, 43.53573
373096, Ginebra, Suiza, CH, 6.14569, 46.20222
380378, Glasgow, United Kingdom, GB, -4.25763, 55.86515
380378, Glasgow, United Kingdom, GB, -4.25763, 55.86515
398226, Gliwice, Poland, PL, 18.67658, 50.29761
372134, Gomel, Białoruś, BY, 30.9833333, 52.4416667
405996, Gothenburg, Sweden, SE, 11.96679, 57.70716
376542, Graben-Neudorf, Germany, DE, 8.49243, 49.16695
378585, Granada, Spain, ES, -3.60667, 37.18817
378585, Granada, Spain, ES, -3.60667, 37.18817
368439, Graz, Österreich, AT, 15.45, 47.06667
313877, Graz Flughafen, Österreich, AT, 15.44412, 46.99632
376548, Greifswald, Deutschland, DE, 13.38786, 54.09311
3345602, Grenoble, France, FR, 5.715833, 45.186111
379464, Grenoble, France, FR, 5.71667, 45.16667
380402, Grimsby, United Kingdom, GB, -0.07553, 53.56539
319191, Grimsby Town, United Kingdom, GB, -0.0867997, 53.563586
393245, Groninga, Holanda, NL, 6.56667, 53.21917
393245, Groningen, Netherlands, NL, 6.56667, 53.21917
393245, Groningen, Netherlands, NL, 6.56667, 53.21917
388117, Grosseto, Italie, IT, 11.10794, 42.77142
388117, Grosseto, Italy, IT, 11.10794, 42.77142
388120, Grottammare, Italy, IT, 13.86489, 42.98875
427156, Guardamar del Segura, Spain, ES, -0.65556, 38.09031
460171, Göreme, Turkey, TR, 34.83529, 38.6437
405996, Göteborg, Sverige, SE, 11.96679, 57.70716
405996, Göteborg, Sverige, SE, 11.96679, 57.70716
328437, Göteborg centralstation, Sverige, SE, 11.973424, 57.709308
328437, Göteborg centralstation, Sverige, SE, 11.973424, 57.709308
376540, Göttingen, Deutschland, DE, 9.93406, 51.53933
376569, Gütersloh, Deutschland, DE, 8.37854, 51.90693
393390, Haag, Nederländerna, NL, 4.29861, 52.07667
16885124, Hagen, Deutschland, DE, 7.977953, 52.196336
16834972, Hallstatt, Austria, AT, 13.64912, 47.56231
314872, Halmstad, Sweden, SE, 12.81642, 56.68187
376583, Hamburg, Germany, DE, 10.01534, 53.57532
376583, Hamburg, Germany, DE, 10.01534, 53.57532
331128, Hamburg Hbf, Germany, DE, 10.006908, 53.55273
376588, Hanau, Germany, DE, 8.91418, 50.13423
406213, Handlova, Slovakia, SK, 18.76012, 48.7276
376590, Hannover, Deutschland, DE, 9.73322, 52.37052
376590, Hannover, Deutschland, DE, 9.73322, 52.37052
376590, Hanover, Germany, DE, 9.73322, 52.37052
441557, Hay-on-wye, United Kingdom, GB, -3.12741, 52.07049
393261, Heerenveen, Nederland, NL, 5.91854, 52.95929
376605, Heidelberg, Germany, DE, 8.69079, 49.40768
406000, Helsingborg, Sverige, SE, 12.69437, 56.04673
377599, Helsingör, Danmark, DK, 12.6136, 56.03606
378980, Helsinki, Finland, FI, 24.93545, 60.16952
